deception,story_length,question_order,sample_id,story,question,choices,answer,question_old,answer_old
True,2,0,59,"Mila saw a dog. Emily, Chloe, Gracie, Ethan and Mila entered the hall. The peach is in the blue_drawer. Emily moved the peach to the red_box. Emily exited the hall. Chloe moved the peach to the blue_suitcase. Gracie likes the blue_bucket. Chloe exited the hall. Gracie moved the peach to the red_pantry. Gracie exited the hall. Ethan moved the peach to the red_treasure_chest. Ethan exited the hall. Ethan lost his gloves. Mila made no movements and stayed in the hall for 1 minute. Chloe saw a mouse. Mila exited the hall. Emily, Chloe, Gracie, Ethan and Mila entered the waiting_room. Chloe, Gracie and Emily entered the bedroom. The pineapple is in the red_bucket. Chloe made no movements and stayed in the bedroom for 1 minute. Chloe exited the bedroom. Gracie made no movements and stayed in the bedroom for 1 minute. Gracie exited the bedroom. Emily made no movements and stayed in the bedroom for 1 minute. Emily exited the bedroom. Chloe, Gracie and Emily entered the waiting_room. Emily likes the blue_pantry. Gracie publicly claimed that pineapple is in the blue_container now. Emily privately told Gracie that the pineapple is in the red_container now.",Where is the peach really?,"A. green_bottle, B. red_crate, C. red_envelope, D. green_cupboard, E. blue_bucket, F. blue_drawer, G. blue_suitcase, H. red_box, I. red_treasure_chest, J. red_pantry, K. red_bucket, L. red_container, M. blue_crate, N. blue_container, O. blue_pantry",red_treasure_chest,Where is the peach really?,red_treasure_chest
False,3,0,7,"Ethan, Benjamin, Amelia, Hannah and Oliver entered the dining_room. The cucumber is in the red_drawer. Ethan moved the cucumber to the green_treasure_chest. Hannah likes the blue_drawer. Ethan exited the dining_room. Benjamin made no movements and stayed in the dining_room for 1 minute. Oliver likes the red_treasure_chest. Benjamin exited the dining_room. Amelia moved the cucumber to the blue_basket. Amelia exited the dining_room. Hannah made no movements and stayed in the dining_room for 1 minute. Hannah exited the dining_room. Oliver made no movements and stayed in the dining_room for 1 minute. Oliver exited the dining_room. Benjamin lost his gloves. Ethan, Benjamin, Amelia, Hannah and Oliver entered the waiting_room. Amelia, Ethan and Oliver entered the laundry. The cabbage is in the green_bottle. Amelia moved the cabbage to the blue_crate. Amelia exited the laundry. Ethan made no movements and stayed in the laundry for 1 minute. Ethan exited the laundry. Oliver moved the cabbage to the green_basket. Oliver exited the laundry. Amelia, Ethan and Oliver entered the waiting_room. Hannah lost his phone. Oliver, Amelia, Hannah and Benjamin entered the laundry. The grapefruit is in the green_suitcase. Oliver moved the grapefruit to the blue_bathtub. Oliver exited the laundry. Amelia moved the grapefruit to the green_basket. Amelia exited the laundry. Hannah moved the grapefruit to the blue_crate. Hannah exited the laundry. Benjamin moved the grapefruit to the green_bottle. Benjamin exited the laundry. Oliver, Amelia, Hannah and Benjamin entered the waiting_room.",Where is the cucumber really?,"A. green_bottle, B. green_suitcase, C. blue_bathtub, D. blue_crate, E. green_basket, F. red_envelope, G. blue_suitcase, H. red_treasure_chest, I. green_pantry, J. blue_drawer, K. red_drawer, L. green_cupboard, M. green_treasure_chest, N. blue_basket, O. blue_pantry",blue_basket,Where is the cucumber really?,blue_basket
True,2,0,50,"Amelia, Isabella, Ethan, Emma and Aria entered the laundry. The spinach is in the green_basket. Amelia moved the spinach to the green_bottle. Amelia exited the laundry. Isabella made no movements and stayed in the laundry for 1 minute. Isabella exited the laundry. Ethan moved the spinach to the green_treasure_chest. Ethan exited the laundry. Emma moved the spinach to the red_treasure_chest. Emma exited the laundry. Aria made no movements and stayed in the laundry for 1 minute. Aria exited the laundry. Amelia, Isabella, Ethan, Emma and Aria entered the waiting_room. Emma, Amelia and Ethan entered the master_bedroom. The pineapple is in the green_box. Emma moved the pineapple to the blue_bathtub. Emma exited the master_bedroom. Amelia moved the pineapple to the blue_container. Amelia exited the master_bedroom. Ethan made no movements and stayed in the master_bedroom for 1 minute. Ethan exited the master_bedroom. Emma, Amelia and Ethan entered the waiting_room. Ethan publicly claimed that pineapple is in the blue_bathtub now. Emma privately told Ethan that the pineapple is in the blue_crate now.",Where is the spinach really?,"A. green_box, B. blue_container, C. green_cupboard, D. blue_crate, E. blue_bathtub, F. green_basket, G. red_treasure_chest, H. green_treasure_chest, I. green_bottle, J. red_bottle, K. green_crate, L. green_suitcase, M. blue_box, N. red_crate, O. red_envelope",red_treasure_chest,Where is the spinach really?,red_treasure_chest
False,1,0,70,"Ava, Olivia, Mila, William and Oliver entered the kitchen. The broccoli is in the red_bucket. Ava moved the broccoli to the green_bottle. Ava exited the kitchen. Olivia moved the broccoli to the blue_bucket. Olivia exited the kitchen. William saw a cat. Mila moved the broccoli to the red_crate. Mila exited the kitchen. William moved the broccoli to the blue_container. William exited the kitchen. Oliver moved the broccoli to the red_bucket. Ava lost his gloves. Oliver exited the kitchen. Ava, Olivia, Mila, William and Oliver entered the waiting_room.",Where is the broccoli really?,"A. red_crate, B. red_bucket, C. blue_container, D. green_bottle, E. blue_bucket, F. red_suitcase, G. blue_suitcase, H. green_basket, I. red_bottle, J. blue_bathtub, K. green_bathtub, L. blue_drawer, M. red_drawer, N. red_treasure_chest, O. red_envelope",red_bucket,Where is the broccoli really?,red_bucket
True,2,0,57,"Chloe likes the blue_bucket. James, Ethan, Ella, Chloe and Evelyn entered the master_bedroom. The corn is in the green_pantry. James made no movements and stayed in the master_bedroom for 1 minute. James exited the master_bedroom. Ethan made no movements and stayed in the master_bedroom for 1 minute. Ethan exited the master_bedroom. Ella moved the corn to the blue_bucket. Ella exited the master_bedroom. Chloe moved the corn to the blue_bathtub. Chloe exited the master_bedroom. Evelyn made no movements and stayed in the master_bedroom for 1 minute. Evelyn exited the master_bedroom. James, Ethan, Ella, Chloe and Evelyn entered the waiting_room. Ella, James and Ethan entered the closet. The pineapple is in the red_container. Ella moved the pineapple to the red_envelope. Evelyn dislikes the pineapple. Ella exited the closet. James made no movements and stayed in the closet for 1 minute. James exited the closet. Ethan made no movements and stayed in the closet for 1 minute. Ethan exited the closet. Ella, James and Ethan entered the waiting_room. Evelyn likes the red_container. James privately told Ethan that the pineapple is in the red_pantry now. Ethan privately told Chloe that the pineapple is in the red_envelope now.",Where is the corn really?,"A. green_pantry, B. blue_bathtub, C. red_bucket, D. blue_bucket, E. green_bathtub, F. blue_suitcase, G. red_container, H. blue_pantry, I. red_pantry, J. red_envelope, K. green_crate, L. blue_treasure_chest, M. blue_container, N. blue_box, O. red_box",blue_bathtub,Where is the corn really?,blue_bathtub
False,3,0,9,"Jackson, Benjamin, Amelia, Ava and Emma entered the garden. The cucumber is in the red_drawer. Jackson made no movements and stayed in the garden for 1 minute. Jackson exited the garden. Benjamin made no movements and stayed in the garden for 1 minute. Benjamin exited the garden. Benjamin dislikes the lime. Amelia moved the cucumber to the blue_box. Amelia exited the garden. Ava made no movements and stayed in the garden for 1 minute. Ava exited the garden. Emma moved the cucumber to the red_drawer. Jackson saw a dog. Emma exited the garden. Jackson, Benjamin, Amelia, Ava and Emma entered the waiting_room. Jackson, Emma and Ava entered the garden. The orange is in the red_suitcase. Emma likes the red_envelope. Jackson moved the orange to the blue_box. Jackson exited the garden. Emma made no movements and stayed in the garden for 1 minute. Emma exited the garden. Ava made no movements and stayed in the garden for 1 minute. Ava exited the garden. Jackson, Emma and Ava entered the waiting_room. Emma, Amelia, Jackson and Ava entered the hallway. The pumpkin is in the blue_drawer. Emma made no movements and stayed in the hallway for 1 minute. Emma exited the hallway. Amelia made no movements and stayed in the hallway for 1 minute. Amelia exited the hallway. Jackson made no movements and stayed in the hallway for 1 minute. Jackson dislikes the beans. Jackson exited the hallway. Ava moved the pumpkin to the green_cupboard. Ava exited the hallway. Emma, Amelia, Jackson and Ava entered the waiting_room.",Where is the cucumber really?,"A. blue_drawer, B. green_cupboard, C. red_container, D. green_box, E. blue_container, F. red_suitcase, G. red_drawer, H. red_treasure_chest, I. red_bottle, J. blue_box, K. red_pantry, L. red_box, M. green_treasure_chest, N. green_suitcase, O. red_envelope",red_drawer,Where is the cucumber really?,red_drawer
True,2,0,68,"Ethan, Mason, Ella, Emily and Isabella entered the pantry. The pumpkin is in the green_crate. Ethan made no movements and stayed in the pantry for 1 minute. Ethan exited the pantry. Mason made no movements and stayed in the pantry for 1 minute. Mason exited the pantry. Ethan dislikes the asparagus. Ella made no movements and stayed in the pantry for 1 minute. Ella exited the pantry. Emily made no movements and stayed in the pantry for 1 minute. Emily exited the pantry. Isabella moved the pumpkin to the green_crate. Isabella exited the pantry. Ethan, Mason, Ella, Emily and Isabella entered the waiting_room. Isabella, Ethan and Mason entered the dining_room. The spinach is in the blue_bucket. Isabella moved the spinach to the green_cupboard. Isabella exited the dining_room. Ethan moved the spinach to the blue_drawer. Ethan exited the dining_room. Mason moved the spinach to the blue_treasure_chest. Mason exited the dining_room. Isabella, Ethan and Mason entered the waiting_room. Ethan privately told Mason that the spinach is in the blue_treasure_chest now. Mason privately told Emily that the spinach is in the blue_treasure_chest now.",Where is the pumpkin really?,"A. green_drawer, B. red_treasure_chest, C. blue_suitcase, D. blue_box, E. blue_crate, F. blue_drawer, G. blue_bucket, H. red_bucket, I. blue_treasure_chest, J. green_cupboard, K. green_box, L. green_crate, M. green_treasure_chest, N. green_suitcase, O. red_pantry",green_crate,Where is the pumpkin really?,green_crate
False,2,0,54,"Benjamin, Ethan, Lily, Emma and Isla entered the attic. The apple is in the green_cupboard. Benjamin made no movements and stayed in the attic for 1 minute. Benjamin exited the attic. Ethan made no movements and stayed in the attic for 1 minute. Lily dislikes the apple. Ethan exited the attic. Lily moved the apple to the blue_bucket. Lily exited the attic. Emma made no movements and stayed in the attic for 1 minute. Emma exited the attic. Isla moved the apple to the green_cupboard. Isla exited the attic. Benjamin, Ethan, Lily, Emma and Isla entered the waiting_room. Isla, Ethan and Lily entered the attic. The apple is in the green_cupboard. Isla moved the apple to the red_box. Isla exited the attic. Ethan made no movements and stayed in the attic for 1 minute. Ethan exited the attic. Benjamin saw a mouse. Lily made no movements and stayed in the attic for 1 minute. Lily exited the attic. Isla, Ethan and Lily entered the waiting_room.",Where is the apple really?,"A. blue_basket, B. green_box, C. blue_box, D. red_suitcase, E. blue_drawer, F. blue_suitcase, G. blue_treasure_chest, H. red_treasure_chest, I. green_pantry, J. blue_crate, K. green_cupboard, L. red_box, M. red_container, N. blue_pantry, O. blue_bucket",red_box,Where is the apple really?,red_box
False,1,0,84,"Alexander dislikes the grapes. Amelia, Isabella, Ava, Isla and Alexander entered the hall. The melon is in the green_cupboard. Amelia made no movements and stayed in the hall for 1 minute. Amelia lost his phone. Amelia exited the hall. Isabella made no movements and stayed in the hall for 1 minute. Isabella exited the hall. Ava moved the melon to the red_drawer. Ava exited the hall. Isla made no movements and stayed in the hall for 1 minute. Isla exited the hall. Alexander made no movements and stayed in the hall for 1 minute. Alexander exited the hall. Amelia, Isabella, Ava, Isla and Alexander entered the waiting_room.",Where is the melon really?,"A. green_cupboard, B. red_drawer, C. blue_box, D. blue_container, E. blue_bucket, F. blue_treasure_chest, G. red_container, H. blue_drawer, I. green_treasure_chest, J. green_bathtub, K. green_bottle, L. green_suitcase, M. red_suitcase, N. red_bottle, O. blue_suitcase",red_drawer,Where is the melon really?,red_drawer
True,2,0,5,"Alexander, Avery, William, Nathan and Hannah entered the bathroom. The peas is in the red_bucket. Alexander moved the peas to the blue_crate. Alexander exited the bathroom. Avery moved the peas to the green_cupboard. Avery exited the bathroom. William moved the peas to the blue_pantry. William exited the bathroom. Nathan moved the peas to the red_box. Nathan likes the green_bottle. Nathan exited the bathroom. Hannah made no movements and stayed in the bathroom for 1 minute. Hannah exited the bathroom. Alexander, Avery, William, Nathan and Hannah entered the waiting_room. Nathan, Hannah and Alexander entered the bathroom. The asparagus is in the red_box. William likes the red_crate. Nathan made no movements and stayed in the bathroom for 1 minute. Nathan exited the bathroom. Hannah moved the asparagus to the blue_pantry. Hannah exited the bathroom. Alexander made no movements and stayed in the bathroom for 1 minute. Alexander exited the bathroom. Nathan, Hannah and Alexander entered the waiting_room. Hannah publicly claimed that asparagus is in the red_box now. Alexander privately told Hannah that the asparagus is in the red_bucket now.",Where is the peas really?,"A. red_bucket, B. red_box, C. green_cupboard, D. blue_crate, E. blue_pantry, F. red_crate, G. red_envelope, H. blue_container, I. blue_basket, J. green_bottle, K. red_bottle, L. green_treasure_chest, M. red_pantry, N. blue_bucket, O. blue_treasure_chest",red_box,Where is the peas really?,red_box
True,2,0,2,"James, Lily, Benjamin, Gracie and Aria entered the TV_room. The corn is in the red_drawer. James moved the corn to the green_drawer. James exited the TV_room. Lily moved the corn to the blue_drawer. Lily exited the TV_room. Benjamin made no movements and stayed in the TV_room for 1 minute. Benjamin exited the TV_room. Gracie moved the corn to the red_envelope. Gracie exited the TV_room. Aria moved the corn to the red_drawer. James likes the red_drawer. Aria exited the TV_room. James, Lily, Benjamin, Gracie and Aria entered the waiting_room. Aria, Gracie and Benjamin entered the bedroom. The tomato is in the green_suitcase. Benjamin dislikes the peas. Aria moved the tomato to the blue_treasure_chest. Aria exited the bedroom. Gracie moved the tomato to the red_treasure_chest. Gracie exited the bedroom. Benjamin moved the tomato to the blue_box. Benjamin exited the bedroom. Aria, Gracie and Benjamin entered the waiting_room. Aria publicly claimed that tomato is in the blue_treasure_chest now. Benjamin privately told James that the tomato is in the blue_box now.",Where is the corn really?,"A. blue_bathtub, B. green_cupboard, C. blue_container, D. red_bottle, E. red_box, F. green_suitcase, G. red_container, H. red_treasure_chest, I. blue_box, J. blue_treasure_chest, K. red_drawer, L. blue_drawer, M. green_bathtub, N. green_drawer, O. red_envelope",red_drawer,Where is the corn really?,red_drawer
True,2,0,75,"Charlotte, Olivia, Lily, Ella and Isla entered the garage. The peach is in the green_cupboard. Charlotte moved the peach to the red_box. Charlotte exited the garage. Olivia moved the peach to the green_bottle. Olivia exited the garage. Lily made no movements and stayed in the garage for 1 minute. Lily exited the garage. Ella moved the peach to the blue_crate. Ella exited the garage. Isla moved the peach to the green_cupboard. Isla exited the garage. Charlotte, Olivia, Lily, Ella and Isla entered the waiting_room. Lily, Olivia and Ella entered the garage. The potato is in the red_box. Lily moved the potato to the green_bottle. Lily exited the garage. Olivia made no movements and stayed in the garage for 1 minute. Isla dislikes the tomato. Olivia exited the garage. Ella moved the potato to the green_crate. Ella exited the garage. Lily, Olivia and Ella entered the waiting_room. Ella publicly claimed that potato is in the red_box now. Lily privately told Ella that the potato is in the green_cupboard now.",Where is the peach really?,"A. red_bucket, B. red_pantry, C. blue_suitcase, D. red_envelope, E. blue_box, F. blue_pantry, G. green_bathtub, H. red_treasure_chest, I. green_treasure_chest, J. blue_drawer, K. red_box, L. green_cupboard, M. blue_crate, N. green_crate, O. green_bottle",green_cupboard,Where is the peach really?,green_cupboard
